iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUT,1.15904598274011,1.3280661113889,1.23711605800238,1.01198218531861,1.10895970128658,0.981465959080042,1.24402475433338,0.828407550909723,0.965412892048534,0.750809325527336,1.02366558792704,0.870687322438091,0.80455581587406,0.615755660272331,0.722046711159838,0.656372596954589,0.737805332723898,0.542513661096779,0.697020591490472,0.611295628499106,0.729418238732372,0.917628045906905,0.960895526159402,0.719378730376734,0.491454225339134,0.509116600545148,0.618097446839757,0.795680952852948,0.972794280874553,0.867123024880969,0.729699452512114,0.728529506902089
AZE,4.4292846530268,4.73583649929088,7.37897499757305,6.17562522068493,6.37954087633286,5.61517898224564,5.03201525354784,3.5499727095848,3.48211260517923,2.98711977406019,2.75934921847538,2.6322071310355,2.53221194566208,,,,,2.1287593016363,2.13340539502668,,2.23011241769356,2.2545108782554,2.12954911752328,2.29861661243509,2.42253022914826,2.13920441872443,1.69402364496151,1.80706736101741,1.94040465710907,1.64178691697142,2.23627706150472,1.91021189583004
BDI,,,,,,,,,,,,,,,,,,,,,,,5.10439560944391,5.123365972623,5.37403241808829,4.29750739443945,5.82391017787918,,,,,
BEL,1.04093078351742,1.02364597862194,1.20752122055289,1.44078837171481,1.19175519918103,1.40660936021265,1.18539246788784,1.42788597296519,,,2.06540263051433,2.73540606302754,3.08046825241898,,,,,,,,,,,,,,,,,,,1.07652643158746
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1274974068,,,,
BFA,,,,,,,,,,,,,0.634502436611376,0.640082233972341,0.598592111354095,0.469380905212251,0.498945237000072,0.659555211401829,1.02792938601642,0.891613012477695,0.788198249930744,0.55963484448214,0.693972911642403,0.708730048883044,0.739223164024124,0.646029930732339,1.12086279620408,1.25044051977478,,,,
BGD,,,,,,,,,,,2.58759494598355,2.79333673596886,2.61145411057861,2.5427974290318,2.8114473171555,2.54909799950841,2.92086808171344,2.6801089033079,2.81870640176704,2.87580378852216,2.68749199813241,2.64028590102208,2.7049657645127,2.85203922703712,2.89430778238872,2.55654819285481,2.24740100606148,2.19353053922806,2.33987499251454,,,
BGR,2.58902555408141,4.29963995961549,5.32961690609855,5.69004215334187,5.75541857451384,5.82713497408075,5.21343170452078,4.78424871457875,4.62663482019938,4.00622324513639,4.09993391326405,3.83329617234798,3.19756834332103,3.11957724802641,3.10222735474154,2.54631298677843,2.39504426711388,2.29303259455148,2.24106774891129,1.96470460568018,1.94935047444622,1.69690831259703,1.88292631855588,1.46679508973523,1.51923291217348,1.72384225010119,1.09026053017437,1.43405534771422,1.29260131166718,1.17688228851709,0.988655606762662,1.27797986237754
BHR,,,,,,0.815748514521955,1.26431041349272,0.919339454601869,,,,1.23244282492328,1.06905493539233,,,,,0.38441873964472,0.540373316905985,1.1022063203054,0.164792902699267,0.990036111567169,0.734730164224437,0.871858239020729,0.686428432780924,0.220241355159741,0.283756165489433,0.411852002355793,0.336170726320386,0.267703840579686,0.0,0.0683402977791795
BHS,16.6248582269035,10.1428144498882,14.5404250414491,12.1458403099618,17.6872853928533,13.3531850684685,16.7250129126938,14.830552873339,,,22.7682499830777,13.0450874627608,15.5687690492871,14.7714633054694,12.8246419666006,14.950949385286,17.2968926557677,21.808025073637,20.1215562507752,23.6376751938901,25.1827085878394,33.6023283503109,28.7912139684501,30.8569946842992,31.3519097681758,37.1787444534279,28.0319665434691,30.5749085258884,22.6420821758295,23.4824758933846,17.9594387306367,29.1734237464315
