Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
FRA,,2.0169635071000003,1.6526395666,1.6428434985,1.6220842566999998,1.779914051,1.7612179142,1.8720347634,1.6399739172999999,1.6337525757,1.6000916512,1.4321077082,1.3377688956,1.3510812265,1.0921651245000001,,,
PYF,,,,,,,,,,,,1.162254619,2.6784518548,3.4021191422,0.3735734165,,,
GAB,,,,,,,,,,,,,,13.790155208,,,,
GMB,,,,,,,,,,,,,,10.75724265,,,,
GEO,7.713143650499999,5.4082898266,5.7873084934,4.9962024749000005,5.0778957533,5.0360690005,5.6132640362,6.3121023321,6.6084886255,6.217354739,9.0015514833,7.2701490606,7.4729005452,5.9854101645,4.8015035565,4.2966341042,,
DEU,1.6746116941999998,1.5194585647,1.4308963488,1.1839641419,1.2205260419,1.2325585826,1.1227873442,1.1585303023,1.041412691,1.0518108578,1.0528134477,0.9789651170999999,0.917394536,0.8754139165000001,0.8567403348,0.8383710014,,
GHA,,,,,,,,,,,,,,15.672164790999998,,,,
GRC,1.4149428649,1.5714146107,1.8753070469,1.6169628219999999,1.4171283457,1.4380784796000001,1.2599258818999999,0.9753160159,1.098003865,0.9778186767,1.1803510185,0.9804533259999999,1.1371998781000001,1.2309810113,1.2625152340999999,1.5493849734,,
GRL,19.778125393,5.390157572300001,19.733773455999998,10.739792722,19.635143337,23.133319096999998,30.144516358,21.194673072,8.7960030962,19.284374397,17.485574400999997,17.458100559000002,3.4894270361,10.46809847,19.195867653,,,
GRD,,,,,,14.775122634,5.8979072259,13.731682915999999,8.8066930867,5.8562295641999995,10.707263418,11.646301814000001,10.641591208,13.497488503,6.7244973437999995,11.484682305,,
GUM,,,,,,1.2891000148,5.0762709713,1.2477229056999999,4.9043348189,5.4243662532000005,4.1527007386,6.4318458228,0.5769208579999999,,,,,
GTM,32.548979475,35.319622085,38.14334092,30.867783863000003,24.192856155,25.842964302,28.056126498,30.770271155,35.020650364,36.33281536,41.974800337,45.14801183,43.27470899,45.957715103999995,46.303082248,41.420733955,38.496160142,
GIN,,,,,,,,,,,,,,22.512556085,,,,
GNB,,,,,,,,,,,,,,20.223462380999997,,,,
GUY,14.972959385,12.07149618,11.922005418,15.469746378,12.440259414000002,10.094107088,10.74351955,19.240905623,27.803083983,17.613611153,19.028858202000002,21.782096186,15.331943237,21.022435462,15.53758036,18.555506811,,
HTI,,,,,,,,,,,,,5.0580462849000005,5.0429668996,6.102851704500001,6.8946559612,,
HND,,,,,42.084252575,51.076276533000005,54.952741902,56.02448466,33.649366041,31.958462008,35.13467979,43.005120288,45.566175091000005,61.250965733,70.67187137399999,82.086445619,91.60911330100001,
HKG,,,,,,,0.9664850797,1.0092491099,0.7622137795999999,0.6610111532,0.49927612299999996,0.5268558167,0.3055532114,0.5341905022,0.6725838784,0.4962294361,0.23869072800000002,
HUN,2.8650513391000003,2.6274983898,2.8081857545999998,2.815397046,2.4713253005,2.0077282847999998,2.4939460442,1.9981744757,2.3286762768,2.0671797822,1.6258653768,1.7288877469,1.5334717043000001,1.4568116221,1.3896877372,1.3321787784,,
ISL,,,,,0.7183830634,1.7780306531999999,0.352122595,1.3947828149000001,0.0,1.0238768071,1.0109758276,0.0,0.6541912397,0.0,0.3169140181,,,
IND,4.3662627795999995,4.3950798461,4.3524706946,4.4732735338,4.2334024042000005,4.2123616795,4.0184836846,3.8681206019,3.5197127865,3.6183721021,3.4653083038999997,3.4656581132,3.4422467291000003,3.4376730706,3.3742350368,3.407276812,3.4573723699000003,
IDN,,,,,,,,,,,,,,8.0710393106,,,,
IRN,,,,,,,,,,,,,,,3.0285567055000002,,,
IRQ,,,,,,,,,,,,,,2.0388223975999997,,,,
IRL,1.1908197215,1.1543354779000001,1.0354618432,1.0251742324,1.0130780377,0.9727166134999999,1.3451221216,1.3212117239,1.122052928,0.7342726149,1.2505886184000001,1.4669598062,1.7943456208000002,1.1486684865,1.2692135703,1.2080807177,,
IMN,,,,,,,,,,,,,,,,,,
ISR,2.1004940099000002,2.1324005691,2.7704840444,2.5498190409,2.3250422666,2.4439093705,3.6370676232,3.6368920562000002,3.2430189295,2.6733687351,2.4679873276,2.7978682317000003,1.9363652574,2.2982593576,2.1484794894,2.1298393184999997,2.1025644144999998,
ITA,1.7764346777000002,1.6737403418,1.5345861979,1.5408558455,1.4154175402000002,1.3090859037,1.2395274137999999,1.1200220693,1.2425616526999999,1.2254611278,1.0396922811,1.0578500087,1.0605889953,1.0268572595999998,0.9792749893000001,0.8736458984000001,,
JAM,31.687789151,37.22825387,41.373257331,37.615203963,33.189953257,34.357898520999996,43.735008088,39.794848985,36.844326861999996,55.199131523999995,62.42418389,49.697107257,58.433940854,59.479127532,61.594258624,52.169750883999995,40.890162481,
JPN,0.5438330043999999,0.49353048039999997,0.5412035316,0.5713117694,0.5369165198,0.5066802651,0.5123373088000001,0.4831478736,0.5523673183,0.5534467484000001,0.5087309304,0.4894643046,0.4536993993,0.5104917917,0.39983657270000006,,,
JOR,,,,,,,,,,,1.2542114361,1.8197974675,,,,,,
KAZ,15.364954078,16.706397131,16.668080967,16.580207425,15.74022972,15.544879102000001,14.498915468,13.19986372,13.309649155,13.890464751,12.180488742,11.494002905999999,10.836068250999999,10.73115923,10.340193633,8.8479191822,,
KEN,,,,,,,,,,,,,,20.108999985,,,,
KIR,,,,,,,,,,,,,,7.2514813741,,,,
PRK,,,,,,,,,,,,,,15.161859063,,,,
KOR,,,,,,2.0462026914,2.2743722138,2.0615728698,2.1404900568,2.3147209483,2.2553293901,2.2721631265999997,2.3242418424,2.3232939591,2.8646530851999996,2.5963199417,,
KWT,,,,,,,,,,4.5216112465,2.9151763195999996,1.7861387974,3.145658705,2.2367405432,2.2295398154,,,
KGZ,11.650354356,11.140171911,9.263043642000001,8.810353512799999,8.8387820444,8.3352674652,7.738659455700001,8.2155783757,8.3859987365,8.3493312365,9.737463313500001,8.773096257799999,8.094624605,8.0129067367,7.9493156189,20.096647628,,
LAO,,,,,,,,,,,,,,4.6330115189,,,,
LVA,13.964154657,11.694875817,10.988136912,11.240510137000001,10.406035167,9.6017898743,10.053639122,9.3178008288,9.1679251143,8.7097910556,5.4651255591,5.5820119664,4.1197479239999995,4.3589330389,4.7758448381,3.1082653215,,
LBN,,,,,,,,,,3.0765059497000005,3.8495516258999998,2.0744574013,2.6119309134999997,6.0476395607,1.9299545627,2.2471394506,,
LSO,,,,,,,,,,,,,,32.997839629,33.500821933000005,35.186002235,,
LBR,,,,,,,,,,,,,,10.140878949,,,,
LBY,,,,,,,,,,,,,,2.8619654548,,,,
LIE,,0.0,0.0,0.0,3.0797659377999995,0.0,0.0,0.0,0.0,2.9099374363,0.0,0.0,0.0,2.8152360575,2.7954825003,,,
LTU,13.832615432999999,11.23737668,10.930556581,8.7610174725,8.7691118394,10.571344001,10.144780094,8.4623333743,9.979200329500001,9.9939977739,10.890733157,8.4758357748,8.197587305,8.8695782099,7.5424329195,6.589218774400001,,
LUX,,,,,,,,,,,,1.5034816339,1.4714723552000002,2.4651742775,,,,
