filestem,latitude,longitude,altitude,timestamp
IMG_20260111_121330698,36.76086111111111,-3.8742,135.7,2026:01:11 12:13:31
IMG_20260111_124126473,36.76493888888889,-3.875052777777778,164.1,2026:01:11 12:41:28
IMG_20260111_125648135,36.76455277777778,-3.876811111111111,114.7,2026:01:11 12:56:49
IMG_20260111_132117007,36.752375,-3.878975,77.7,2026:01:11 13:21:18
IMG_20260111_132403143,36.751847222222224,-3.879566666666667,75.7,2026:01:11 13:24:04
IMG_20260111_132842146,36.74997777777778,-3.8805388888888888,74.1,2026:01:11 13:28:43
IMG_20260111_133411721,36.74785,-3.8817666666666666,65.099,2026:01:11 13:34:13
IMG_20260111_145247310,36.74185,-3.8834388888888887,57.099,2026:01:11 14:52:48
IMG_20260112_081839077,36.74851388888889,-3.8699333333333334,51.3,2026:01:12 08:18:40
IMG_20260112_082023014,36.74791666666667,-3.8707777777777777,53.1,2026:01:12 08:20:24
IMG_20260112_082425745,36.74793611111111,-3.8709194444444446,52.3,2026:01:12 08:24:26
IMG_20260112_082545668,36.748308333333334,-3.87045,61.4,2026:01:12 08:25:46
IMG_20260112_082658293,36.74865833333333,-3.869911111111111,53.8,2026:01:12 08:26:59
IMG_20260112_083038076,36.750575,-3.8667055555555554,53.3,2026:01:12 08:30:39
IMG_20260112_085806477,36.74977222222223,-3.86865,57.9,2026:01:12 08:58:08
IMG_20260112_090127700,36.750566666666664,-3.8696916666666668,56.4,2026:01:12 09:01:28
IMG_20260112_090426944,36.75154444444444,-3.871163888888889,56.4,2026:01:12 09:04:28
IMG_20260112_124052469,36.790575,-3.8966333333333334,337.3,2026:01:12 12:40:53
IMG_20260112_125623237,36.79187777777778,-3.897772222222222,367.9,2026:01:12 12:56:25
IMG_20260112_125904719,36.79221666666666,-3.8976888888888888,377.0,2026:01:12 12:59:06
IMG_20260112_130647217,36.792519444444444,-3.8968555555555557,394.6,2026:01:12 13:06:49
IMG_20260112_131518745,36.791824999999996,-3.896141666666667,375.2,2026:01:12 13:15:20
IMG_20260112_132943151,36.790105555555556,-3.895113888888889,344.7,2026:01:12 13:29:44
IMG_20260112_134336324,36.788044444444445,-3.894061111111111,364.0,2026:01:12 13:43:37
IMG_20260112_140524600,36.78288888888889,-3.895463888888889,316.7,2026:01:12 14:05:27
IMG_20260112_141806376,36.780025,-3.8965027777777776,268.4,2026:01:12 14:18:08
